ax, ay, az, gx, gy, gz, temp
-2208,-7500,17736,-28115,-4991,-2918,268438473
2412,-9816,9132,-25019,-4107,-3459,268438473
3448,-12256,-1360,-14641,-4076,-2661,268438473
4000,-10940,-5140,4406,-1568,427,268438473
1836,-144,32767,24984,307,3548,268438473
-7204,-3136,21028,-30577,-7726,-2130,268438473
-484,-8200,12884,-27935,-5553,-7670,268438473
4396,-11116,836,-22925,-4404,-5669,268438473
5048,-12900,-7296,-5539,-7417,-1182,268438473
4748,-10368,-4340,19172,2780,2262,268438473
2056,-6632,4780,32767,16434,4589,268438473
232,-2520,18472,32767,10290,2562,268438473
2612,1272,31724,25688,2545,4190,268438473
-1632,-2212,29256,-2347,3073,3165,268438473
-1916,-3740,16860,-9135,-2156,769,268438473
-928,-5700,14736,-6068,-1553,-2110,268438473
-272,-6476,13724,-2112,-441,-2395,268438473
640,-6000,13092,-1025,-1752,-1436,268438473
304,-5304,13396,636,-548,351,268438473
-436,-5128,14508,1314,1343,529,268438473
208,-5292,14932,1931,1847,402,268438473
500,-5240,15688,2072,1203,997,268438473
180,-5132,16300,1337,304,1047,268438473
-304,-4816,15892,503,-12,629,268438473
-436,-4836,15792,266,-657,-13,268438473
176,-5056,15384,73,-1235,-260,268438473
416,-5008,15032,326,-1339,491,268438473
512,-4856,14732,949,-786,1169,268438473
148,-5112,14648,1964,-685,1323,268438473
-328,-4504,15304,2831,-795,1166,268438473
-1344,-3864,16476,2232,-679,-151,268438473
-3300,-3172,17740,1815,-510,-3361,268438473
-6100,-2256,20476,-692,-733,-10171,268438473
-3372,-1844,24196,-7740,2208,-20191,268438473
3376,-3860,23232,-16634,7258,-20587,268438473
8876,-6876,18036,-25443,5512,-11894,268438473
10876,-10176,11008,-25551,4608,1768,268438473
9260,-10044,5096,-17682,6399,15016,268438473
4820,-8524,360,-7931,1098,22447,268438473
-1184,-6900,-1024,5502,-10756,22485,268438473
-7680,-60,11552,32767,-18471,425,268438473
-6524,644,21316,31245,-12353,-8938,268438473
-1364,-1628,28184,-7629,786,-25628,268438473
7480,-5400,24916,-17116,1436,-21952,268438473
13444,-6720,21852,-28882,8031,-11293,268438473
15296,-8660,11120,-31379,14880,3812,268438473
12312,-8784,3260,-26987,7971,19093,268438473
5424,-5656,-2176,-16002,-4327,27922,268438473
-2020,-6408,-1868,1727,-12840,25363,268438473
